publishedAt,authorDisplayName,textDisplay,likeCount,sentimen
2022-12-30T17:50:30Z,Nico Sanam,Sebentar lagi saya mendapatkan y,0,1
2022-12-28T13:55:41Z,browns,bismillah mudah2an undian poin indosat dpt hadiah mobil ini.klo dapat mau saya jual buat bikin kontrakan .aamiin,0,1
2022-12-28T05:30:18Z,Plankton,TAU MINECRAFT :V,0,1
2022-12-26T05:19:39Z,Fang Yin,Mau Tanya Mas. Ada ga mobil listrik yg bisa ngecas sendiri tanpa ngecas di rmh atau di Shell. Misalnya dr putaran roda atau rem gitu.,0,0
2022-12-26T04:11:19Z,Kaonashi's Gold,bisa ga ya Head unit Stargazer di upgrade ke head unit Ioniq5 ini?,0,0
2022-12-21T07:31:57Z,CALON PEMENANG,berapa tahun sekali ganti baterai ? dan brp harganya ?,0,0
2022-12-13T10:35:03Z,cch33tah,Ada garansi batere? Brp harga battery replacement? Masa pakai batere brp lama? Spt batere hp kl sdh dipakai 3-4 thn daya simpan casnya lunayan berkurang,0,0
2022-12-11T21:37:58Z,GARASI MOBIL CLASSIC (GMC),Itu mobil listri.. terus tiang listrik nya dimana ya..,0,-1
2022-12-11T03:55:19Z,Adi Satwika,Seandai ya mobil ESMK sperti ini di kembangkan dan izin dipermudah..,1,1
2022-12-11T00:00:57Z,Keponakan Luhur,mobil idaman banget ini,0,1
2022-12-02T16:28:05Z,Nugraha Elfarizie,Harga berapa dan dealer daerah Jakarta dimananya,0,0
2022-11-30T23:09:59Z,Save the Rhino,DeLorean versi PaHe,0,-1
2022-11-30T05:36:27Z,moza,masih pake USB type A? cigar lighter masih ada kah?,0,0
2022-11-27T05:59:25Z,Miftahul Iman,Teknologinya jauh beda bos,0,-1
2022-11-26T03:57:11Z,Trisna Riyanti,om mobil listri bisa di bawa naik jalan pegunungan ga ya ?,0,0
2022-11-25T12:55:15Z,Zaka Brizik,Kalau baterainya rusak gimana ya 🤔,0,0
2022-11-27T06:01:18Z,Miftahul Iman,Sekarang aja ioniq 5 bisa di charge cuma 18 menit doang<br>10 tahun kemudian teknologi BEV semakin canggih lagi bisa makin ngebut chargenya,0,1
2022-11-21T13:44:15Z,RokimXP RokimXP,Kalo banyak yg pake mobil listrik pasti PLN menaikkan harga listriknya bosku,1,-1
2022-11-18T15:10:11Z,EscobaR,Kalau rumah cuma 1500W gimana om?,0,0
2022-11-27T06:07:17Z,Miftahul Iman,Bikin sambungan baru aja,0,0
2022-11-17T17:19:12Z,ISNAN MP,Pickup tenaga listrik sudah ada blm bang fitra 😁,0,0
2022-11-16T01:45:24Z,Akbar Mujahiddin Nurzaman,Pantes laris. <br>Udah harganya menarik+penggerak roda belakang😁,0,1
2022-11-14T12:34:44Z,ah.zainal09,Berharap ada opsi 7 kursi seperti Tesla model X,0,1
2022-11-14T09:41:12Z,Eka Adhi,Mobile g20,0,1
2022-11-12T18:02:53Z,Rudy Setiady,Kaya mobil knight rider teruss fungsional bgd kalah Toyota,0,1
2022-11-10T08:59:23Z,Samuel dumai,Mobil ini emg keren bgt .. tpi Setelah dipikir pikir mendingan saya beli wuling air ev 😭😭😭,0,-1
2022-11-09T12:21:16Z,remot games,Miawg,0,0
2022-11-09T06:02:49Z,upinipin upinipin,Duit mu akeh juga om 😀,0,0
2022-11-06T06:18:07Z,wong edan 10,Harga Unit 400jt<br>Harga Batrey nya 450jt<br><br>Bagaimana Nasibnya<br>Klo TERKENA BANJiR<br>atau..<br>TERGENANG AiR ???<br><br>A. Jadi BANGKAi<br>B. BeLi Accu baru<br>C. Jual Kiloan<br>D. Rongsokan<br>E. Sampah,0,-1
2022-11-06T06:16:15Z,wong edan 10,Harga MOBiL 400 JUTA<br>Harga BATRY nya 450 JUTA<br>cocok tdk unt digunakan di INDONESIA ???<br>1. Suhu udara Naik turun<br>2. Sering Hujan<br>3. Sering BANJiR<br><br>bagaimana klo hrs melewati<br>GENANGAN air atau<br>Ter GENANG AiR<br>Akibat BANJiR ????????,0,-1
