;textDisplay;sentimen;step01;tokens;tokens_perbaikan;Stop_removal;step02;ProcessedText
0;Sebentar lagi saya mendapatkan y;1.0;sebentar lagi saya mendapatkan;['sebentar', 'lagi', 'saya', 'mendapatkan'];['sebentar', 'lagi', 'saya', 'mendapatkan'];['sebentar'];sebentar;sebentar
1;bismillah mudah2an undian poin indosat dpt hadiah mobil ini.klo dapat mau saya jual buat bikin kontrakan .aamiin;1.0;bismillah mudah2an undian poin indosat dpt hadiah mobil ini klo dapat mau saya jual buat bikin kontrakan aamiin;['bismillah', 'mudah2an', 'undian', 'poin', 'indosat', 'dpt', 'hadiah', 'mobil', 'ini', 'klo', 'dapat', 'mau', 'saya', 'jual', 'buat', 'bikin', 'kontrakan', 'aamiin'];['bismillah', 'mudah2an', 'undian', 'poin', 'indosat', 'dapat ', 'hadiah', 'mobil', 'ini', 'kalau', 'dapat', 'mau', 'saya', 'jual', 'buat', 'membuat', 'kontrakan', 'semoga'];['bismillah', 'mudah2an', 'undian', 'poin', 'indosat', 'dapat ', 'hadiah', 'mobil', 'jual', 'kontrakan', 'semoga'];bismillah mudah2an undian poin indosat dapat  hadiah mobil jual kontrakan semoga;bismillah mudah2an undi poin indosat dapat hadiah mobil jual kontra moga
2;TAU MINECRAFT :V;1.0;allcaps tau minecraft allcaps;['allcaps', 'tau', 'minecraft', 'allcaps'];['allcaps', 'tau', 'minecraft', 'allcaps'];['allcaps', 'tau', 'minecraft', 'allcaps'];allcaps tau minecraft allcaps;allcaps tau minecraft allcaps
3;Mau Tanya Mas. Ada ga mobil listrik yg bisa ngecas sendiri tanpa ngecas di rmh atau di Shell. Misalnya dr putaran roda atau rem gitu.;0.0;mau tanya mas ada ga mobil listrik yg bisa ngecas sendiri tanpa ngecas di rmh atau di shell misalnya dr putaran roda atau rem gitu;['mau', 'tanya', 'mas', 'ada', 'ga', 'mobil', 'listrik', 'yg', 'bisa', 'ngecas', 'sendiri', 'tanpa', 'ngecas', 'di', 'rmh', 'atau', 'di', 'shell', 'misalnya', 'dr', 'putaran', 'roda', 'atau', 'rem', 'gitu'];['mau', 'tanya', 'mas', 'ada', 'tidak', 'mobil', 'listrik', 'yang', 'bisa', 'ngecas', 'sendiri', 'tanpa', 'ngecas', 'di', 'rumah', 'atau', 'di', 'shell', 'misalnya', 'dari', 'putaran', 'roda', 'atau', 'rem', 'gitu'];['mas', 'mobil', 'listrik', 'ngecas', 'ngecas', 'rumah', 'shell', 'putaran', 'roda', 'rem', 'gitu'];mas mobil listrik ngecas ngecas rumah shell putaran roda rem gitu;mas mobil listrik ngecas ngecas rumah shell putar roda rem gitu
4;bisa ga ya Head unit Stargazer di upgrade ke head unit Ioniq5 ini?;0.0;bisa ga ya head unit stargazer di upgrade ke head unit ioniq5 ini;['bisa', 'ga', 'ya', 'head', 'unit', 'stargazer', 'di', 'upgrade', 'ke', 'head', 'unit', 'ioniq5', 'ini'];['bisa', 'tidak', 'iya', 'head', 'unit', 'stargazer', 'di', 'upgrade', 'ke', 'head', 'unit', 'ioniq5', 'ini'];['iya', 'head', 'unit', 'stargazer', 'upgrade', 'head', 'unit', 'ioniq5'];iya head unit stargazer upgrade head unit ioniq5;iya head unit stargazer upgrade head unit ioniq5
5;berapa tahun sekali ganti baterai ? dan brp harganya ?;0.0;berapa tahun sekali ganti baterai dan brp harganya;['berapa', 'tahun', 'sekali', 'ganti', 'baterai', 'dan', 'brp', 'harganya'];['berapa', 'tahun', 'sekali', 'ganti', 'baterai', 'dan', 'brp', 'harganya'];['ganti', 'baterai', 'brp', 'harganya'];ganti baterai brp harganya;ganti baterai brp harga
6;Ada garansi batere? Brp harga battery replacement? Masa pakai batere brp lama? Spt batere hp kl sdh dipakai 3-4 thn daya simpan casnya lunayan berkurang;0.0;ada garansi batere brp harga battery replacement masa pakai batere brp lama spt batere hp kl sdh dipakai number number thn daya simpan casnya lunayan berkurang;['ada', 'garansi', 'batere', 'brp', 'harga', 'battery', 'replacement', 'masa', 'pakai', 'batere', 'brp', 'lama', 'spt', 'batere', 'hp', 'kl', 'sdh', 'dipakai', 'number', 'number', 'thn', 'daya', 'simpan', 'casnya', 'lunayan', 'berkurang'];['ada', 'garansi', 'batere', 'brp', 'harga', 'battery', 'replacement', 'masa', 'pakai', 'batere', 'brp', 'lama', 'seperti', 'batere', 'hp', 'kalau', 'sudah', 'dipakai', 'number', 'number', 'tahun', 'daya', 'simpan', 'casnya', 'lunayan', 'berkurang'];['garansi', 'batere', 'brp', 'harga', 'battery', 'replacement', 'pakai', 'batere', 'brp', 'batere', 'hp', 'dipakai', 'number', 'number', 'daya', 'simpan', 'casnya', 'lunayan', 'berkurang'];garansi batere brp harga battery replacement pakai batere brp batere hp dipakai number number daya simpan casnya lunayan berkurang;garansi batere brp harga battery replacement pakai batere brp batere hp pakai number number daya simpan cas lunayan kurang
7;Itu mobil listri.. terus tiang listrik nya dimana ya..;-1.0;itu mobil listri repeated terus tiang listrik nya dimana ya repeated;['itu', 'mobil', 'listri', 'repeated', 'terus', 'tiang', 'listrik', 'nya', 'dimana', 'ya', 'repeated'];['itu', 'mobil', 'listri', 'repeated', 'terus', 'tiang', 'listrik', 'nya', 'dimana', 'iya', 'repeated'];['mobil', 'listri', 'repeated', 'tiang', 'listrik', 'nya', 'dimana', 'iya', 'repeated'];mobil listri repeated tiang listrik nya dimana iya repeated;mobil listri repeated tiang listrik nya mana iya repeated
8;Seandai ya mobil ESMK sperti ini di kembangkan dan izin dipermudah..;1.0;seandai ya mobil allcaps esmk allcaps sperti ini di kembangkan dan izin dipermudah repeated;['seandai', 'ya', 'mobil', 'allcaps', 'esmk', 'allcaps', 'sperti', 'ini', 'di', 'kembangkan', 'dan', 'izin', 'dipermudah', 'repeated'];['seandai', 'iya', 'mobil', 'allcaps', 'esmk', 'allcaps', 'sperti', 'ini', 'di', 'kembangkan', 'dan', 'izin', 'dipermudah', 'repeated'];['seandai', 'iya', 'mobil', 'allcaps', 'esmk', 'allcaps', 'sperti', 'kembangkan', 'izin', 'dipermudah', 'repeated'];seandai iya mobil allcaps esmk allcaps sperti kembangkan izin dipermudah repeated;anda iya mobil allcaps esmk allcaps sperti kembang izin mudah repeated
9;mobil idaman banget ini;1.0;mobil idaman banget ini;['mobil', 'idaman', 'banget', 'ini'];['mobil', 'idaman', 'banget', 'ini'];['mobil', 'idaman', 'banget'];mobil idaman banget;mobil idam banget
