;Unnamed: 0;Tweet;Emosi;step01;tokens;tokens_perbaikan;final_tokens;step02;ProcessedText
0;0.0;Cegah mata rantai Covid-19,mari kita dirumah saja hingga hari Minggu.....;1.0;cegah mata rantai covid number mari kita dirumah saja hingga hari minggu;['cegah', 'mata', 'rantai', 'covid', 'number', 'mari', 'kita', 'dirumah', 'saja', 'hingga', 'hari', 'minggu'];['cegah', 'mata', 'rantai', 'covid', 'number', 'mari', 'kita', 'dirumah', 'saja', 'hingga', 'hari', 'minggu'];['cegah', 'mata', 'rantai', 'covid', 'number', 'mari', 'kita', 'dirumah', 'saja', 'hingga', 'hari', 'minggu'];cegah mata rantai covid number mari kita dirumah saja hingga hari minggu;cegah mata rantai covid number kita rumah hingga hari minggu
1;1.0;aku mohon yaAllah semoga wabah covid-19 menghilang sebelum ramadhan datang ;-1.0;aku mohon yaallah semoga wabah covid number menghilang sebelum ramadhan datang;['aku', 'mohon', 'yaallah', 'semoga', 'wabah', 'covid', 'number', 'menghilang', 'sebelum', 'ramadhan', 'datang'];['aku', 'mohon', 'yaallah', 'semoga', 'wabah', 'covid', 'number', 'menghilang', 'sebelum', 'ramadhan', 'datang'];['aku', 'mohon', 'yaallah', 'semoga', 'wabah', 'covid', 'number', 'menghilang', 'sebelum', 'ramadhan', 'datang'];aku mohon yaallah semoga wabah covid number menghilang sebelum ramadhan datang;aku mohon yaallah moga wabah covid number hilang ramadhan datang
2;2.0;Pemprov Papua Naikkan Status Jadi Tanggap Darurat Covid-19. OPM;1.0;pemprov papua naikkan status jadi tanggap darurat covid number opm;['pemprov', 'papua', 'naikkan', 'status', 'jadi', 'tanggap', 'darurat', 'covid', 'number', 'opm'];['pemprov', 'papua', 'naikkan', 'status', 'jadi', 'tanggap', 'darurat', 'covid', 'number', 'opm'];['pemprov', 'papua', 'naikkan', 'status', 'jadi', 'tanggap', 'darurat', 'covid', 'number', 'opm'];pemprov papua naikkan status jadi tanggap darurat covid number opm;pemprov papua naik status jadi tanggap darurat covid number opm
3;3.0;Covid belum nyampe prigen mbak hmm hoax;-2.0;covid belum nyampe prigen mbak hmm hoax;['covid', 'belum', 'nyampe', 'prigen', 'mbak', 'hmm', 'hoax'];['covid', 'belum', 'nyampe', 'prigen', 'mbak', 'aduh', 'bohong'];['covid', 'belum', 'nyampe', 'prigen', 'mbak', 'aduh', 'bohong'];covid belum nyampe prigen mbak aduh bohong;covid nyampe prigen mbak aduh bohong
4;4.0;Nyuruh orang pintar, lu aja Togog. Itu kerumunan orang bisa nularin covid 19 lol. Mikir !!!!;-2.0;nyuruh orang pintar lu aja togog itu kerumunan orang bisa nularin covid number lol mikir;['nyuruh', 'orang', 'pintar', 'lu', 'aja', 'togog', 'itu', 'kerumunan', 'orang', 'bisa', 'nularin', 'covid', 'number', 'lol', 'mikir'];['nyuruh', 'orang', 'pintar', 'kamu', 'saja', 'togog', 'itu', 'kerumunan', 'orang', 'bisa', 'nularin', 'covid', 'number', 'lol', 'mikir'];['nyuruh', 'orang', 'pintar', 'kamu', 'saja', 'togog', 'itu', 'kerumunan', 'orang', 'bisa', 'nularin', 'covid', 'number', 'lol', 'mikir'];nyuruh orang pintar kamu saja togog itu kerumunan orang bisa nularin covid number lol mikir;nyuruh orang pintar kamu togog kerumun orang nularin covid number lol mikir
5;5.0;Pikir2 balik byk mnde plk nk setelkn lepas covid.;1.0;pikir2 balik byk mnde plk nk setelkn lepas covid;['pikir2', 'balik', 'byk', 'mnde', 'plk', 'nk', 'setelkn', 'lepas', 'covid'];['pikir2', 'balik', 'banyak', 'mnde', 'plk', 'nk', 'setelkn', 'lepas', 'covid'];['pikir2', 'balik', 'banyak', 'mnde', 'plk', 'nk', 'setelkn', 'lepas', 'covid'];pikir2 balik banyak mnde plk nk setelkn lepas covid;pikir2 balik banyak mnde plk nk setelkn lepas covid
6;6.0;Selamat pagi, hari jum'at. Jum'at keempat di kala pandemi Covid-19. Semoga kita semua dikasih kesehatan. Aamiin.;-1.0;selamat pagi hari jum at jum at keempat di kala pandemi covid number semoga kita semua dikasih kesehatan aamiin;['selamat', 'pagi', 'hari', 'jum', 'at', 'jum', 'at', 'keempat', 'di', 'kala', 'pandemi', 'covid', 'number', 'semoga', 'kita', 'semua', 'dikasih', 'kesehatan', 'aamiin'];['selamat', 'pagi', 'hari', 'jum', 'at', 'jum', 'at', 'keempat', 'di', 'kala', 'pandemi', 'covid', 'number', 'semoga', 'kita', 'semua', 'dikasih', 'kesehatan', 'semoga'];['selamat', 'pagi', 'hari', 'jum', 'at', 'jum', 'at', 'keempat', 'di', 'kala', 'pandemi', 'covid', 'number', 'semoga', 'kita', 'semua', 'dikasih', 'kesehatan', 'semoga'];selamat pagi hari jum at jum at keempat di kala pandemi covid number semoga kita semua dikasih kesehatan semoga;selamat pagi hari jum at jum at empat kala pandemi covid number moga semua kasih sehat moga
7;7.0;Hikmah di balik musibah covid-19, smg para pejabat pemerintahan sadar lbh mengedepankan kekayaan negara utk kesejahteraan rakyat Indonesia, bukan memperkaya diri sendiri, keluarga dan kepentingan golongan. Apalagi membela kepentingan WNA, yg jelas2 melukai kepentingan rakyat.;-2.0;hikmah di balik musibah covid number smg para pejabat pemerintahan sadar lbh mengedepankan kekayaan negara utk kesejahteraan rakyat indonesia bukan memperkaya diri sendiri keluarga dan kepentingan golongan apalagi membela kepentingan wna yg jelas2 melukai kepentingan rakyat;['hikmah', 'di', 'balik', 'musibah', 'covid', 'number', 'smg', 'para', 'pejabat', 'pemerintahan', 'sadar', 'lbh', 'mengedepankan', 'kekayaan', 'negara', 'utk', 'kesejahteraan', 'rakyat', 'indonesia', 'bukan', 'memperkaya', 'diri', 'sendiri', 'keluarga', 'dan', 'kepentingan', 'golongan', 'apalagi', 'membela', 'kepentingan', 'wna', 'yg', 'jelas2', 'melukai', 'kepentingan', 'rakyat'];['hikmah', 'di', 'balik', 'musibah', 'covid', 'number', 'semoga', 'para', 'pejabat', 'pemerintahan', 'sadar', 'lebih', 'mengedepankan', 'kekayaan', 'negara', 'untuk', 'kesejahteraan', 'rakyat', 'indonesia', 'bukan', 'memperkaya', 'diri', 'sendiri', 'keluarga', 'dan', 'kepentingan', 'golongan', 'apalagi', 'membela', 'kepentingan', 'wna', 'yang', 'jelas2', 'melukai', 'kepentingan', 'rakyat'];['hikmah', 'di', 'balik', 'musibah', 'covid', 'number', 'semoga', 'para', 'pejabat', 'pemerintahan', 'sadar', 'lebih', 'mengedepankan', 'kekayaan', 'negara', 'untuk', 'kesejahteraan', 'rakyat', 'indonesia', 'bukan', 'memperkaya', 'diri', 'sendiri', 'keluarga', 'dan', 'kepentingan', 'golongan', 'apalagi', 'membela', 'kepentingan', 'wna', 'yang', 'jelas2', 'melukai', 'kepentingan', 'rakyat'];hikmah di balik musibah covid number semoga para pejabat pemerintahan sadar lebih mengedepankan kekayaan negara untuk kesejahteraan rakyat indonesia bukan memperkaya diri sendiri keluarga dan kepentingan golongan apalagi membela kepentingan wna yang jelas2 melukai kepentingan rakyat;hikmah balik musibah covid number moga jabat perintah sadar lebih depan kaya negara sejahtera rakyat indonesia bukan kaya diri sendiri keluarga penting golong bela penting wna jelas2 luka penting rakyat
8;8.0;Cegah covid-19 beserta jajaran Polsek Kuranji melakukan aksi peduli berupa pembagian masker gratis bagi pengguna jalan kegiatan ini dilakukan di depan Polsek Kuranji.Kamis (9/4)Febriputraguci;1.0;cegah covid number beserta jajaran polsek kuranji melakukan aksi peduli berupa pembagian masker gratis bagi pengguna jalan kegiatan ini dilakukan di depan polsek kuranji kamis number number febriputraguci;['cegah', 'covid', 'number', 'beserta', 'jajaran', 'polsek', 'kuranji', 'melakukan', 'aksi', 'peduli', 'berupa', 'pembagian', 'masker', 'gratis', 'bagi', 'pengguna', 'jalan', 'kegiatan', 'ini', 'dilakukan', 'di', 'depan', 'polsek', 'kuranji', 'kamis', 'number', 'number', 'febriputraguci'];['cegah', 'covid', 'number', 'beserta', 'jajaran', 'polsek', 'kuranji', 'melakukan', 'aksi', 'peduli', 'berupa', 'pembagian', 'masker', 'gratis', 'bagi', 'pengguna', 'jalan', 'kegiatan', 'ini', 'dilakukan', 'di', 'depan', 'polsek', 'kuranji', 'kamis', 'number', 'number', 'febriputraguci'];['cegah', 'covid', 'number', 'beserta', 'jajaran', 'polsek', 'kuranji', 'melakukan', 'aksi', 'peduli', 'berupa', 'pembagian', 'masker', 'gratis', 'bagi', 'pengguna', 'jalan', 'kegiatan', 'ini', 'dilakukan', 'di', 'depan', 'polsek', 'kuranji', 'kamis', 'number', 'number', 'febriputraguci'];cegah covid number beserta jajaran polsek kuranji melakukan aksi peduli berupa pembagian masker gratis bagi pengguna jalan kegiatan ini dilakukan di depan polsek kuranji kamis number number febriputraguci;cegah covid number serta jajar polsek ranji laku aksi peduli upa bagi masker gratis guna jalan giat laku depan polsek ranji kamis number number febriputraguci
9;9.0;Ya Allah kami memohon pada mu perkenankanlah doa doa kami kerana sesungguhnya engkaulah yang maha pengasih lagi maha penyayang...Ya Allah lindungilah kami dari penyakit berjangkit covid 19... Aamiin.. aamiin ya rabbal a'lamin..stay at home.. jangan keluar rumah;-1.0;ya allah kami memohon pada mu perkenankanlah doa doa kami kerana sesungguhnya engkaulah yang maha pengasih lagi maha penyayang ya allah lindungilah kami dari penyakit berjangkit covid number aamiin aamiin ya rabbal lamin stay at home jangan keluar rumah;['ya', 'allah', 'kami', 'memohon', 'pada', 'mu', 'perkenankanlah', 'doa', 'doa', 'kami', 'kerana', 'sesungguhnya', 'engkaulah', 'yang', 'maha', 'pengasih', 'lagi', 'maha', 'penyayang', 'ya', 'allah', 'lindungilah', 'kami', 'dari', 'penyakit', 'berjangkit', 'covid', 'number', 'aamiin', 'aamiin', 'ya', 'rabbal', 'lamin', 'stay', 'at', 'home', 'jangan', 'keluar', 'rumah'];['iya', 'allah', 'kami', 'memohon', 'pada', 'mu', 'perkenankanlah', 'doa', 'doa', 'kami', 'kerana', 'sesungguhnya', 'engkaulah', 'yang', 'maha', 'pengasih', 'lagi', 'maha', 'penyayang', 'iya', 'allah', 'lindungilah', 'kami', 'dari', 'penyakit', 'berjangkit', 'covid', 'number', 'semoga', 'semoga', 'iya', 'rabbal', 'lamin', 'stay', 'at', 'home', 'jangan', 'keluar', 'rumah'];['iya', 'allah', 'kami', 'memohon', 'pada', 'mu', 'perkenankanlah', 'doa', 'doa', 'kami', 'kerana', 'sesungguhnya', 'engkaulah', 'yang', 'maha', 'pengasih', 'lagi', 'maha', 'penyayang', 'iya', 'allah', 'lindungilah', 'kami', 'dari', 'penyakit', 'berjangkit', 'covid', 'number', 'semoga', 'semoga', 'iya', 'rabbal', 'lamin', 'stay', 'at', 'home', 'jangan', 'keluar', 'rumah'];iya allah kami memohon pada mu perkenankanlah doa doa kami kerana sesungguhnya engkaulah yang maha pengasih lagi maha penyayang iya allah lindungilah kami dari penyakit berjangkit covid number semoga semoga iya rabbal lamin stay at home jangan keluar rumah;iya allah mohon mu kenan doa doa rana sungguh engkau maha asih maha sayang iya allah lindung dari sakit jangkit covid number moga moga iya rabbal lamin stay at home jangan keluar rumah
